step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
369;0;22554551;369;92;1000;1018;11.34;0.69;128.02;4.18;631;0;304.00;18
369;0;22554565;369;100;1002;1018;11.28;0.69;128.02;4.19;633;0;305.00;16
372;0;22554576;372;106;1008;1021;11.20;0.69;128.00;4.23;636;0;306.00;13
373;0;22554590;373;113;1008;1021;11.13;0.68;128.46;4.23;635;0;307.00;13
378;0;22554604;378;116;1012;1021;11.08;0.68;129.58;4.28;634;0;308.00;9
381;0;22554618;381;119;1015;1025;11.09;0.68;130.75;4.27;634;0;309.00;10
381;0;22554630;381;121;1019;1026;11.11;0.68;130.75;4.29;638;0;310.00;7
383;0;22554640;383;124;1020;1026;11.11;0.68;131.33;4.30;637;0;311.00;6
384;0;22554652;384;131;1025;1030;11.04;0.68;131.79;4.29;641;0;312.00;5
387;0;22554665;387;133;1026;1030;11.03;0.68;132.02;4.30;639;0;313.00;4
389;0;22554679;389;135;1027;1030;11.00;0.68;132.16;4.30;638;0;314.00;3
391;0;22554692;391;137;1030;1032;10.96;0.67;132.82;4.30;639;0;315.00;2
392;0;22554704;392;139;1030;1032;10.93;0.67;133.22;4.30;638;0;316.00;2
395;0;22554715;395;140;1036;1038;10.91;0.67;133.73;4.28;641;0;317.00;2
401;0;22554728;401;147;1036;1038;10.82;0.66;134.49;4.28;635;0;318.00;2
402;0;22554740;402;152;1037;1039;10.64;0.65;134.83;4.28;635;0;319.00;2
402;0;22554752;402;153;1037;1039;10.46;0.64;134.83;4.28;635;0;320.00;2
404;0;22554765;404;154;1037;1039;10.29;0.63;135.40;4.28;633;0;321.00;2
