tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
96.00;199263543_0;77.99;12.66;5.00;5.00;583371595#1_0;0.00;10.66;vehroute_6.1065.0 tripinfo_6.1065.0 routing_6.1065.0 emissions_6.1065.0;91.00;6.1065.0;1;1586.62;1.24;0.00;11.03;taxi;;0;0.00;336005.583142;3737.249397;25.072699;135.384945;6.421183;0;144.432986
96.00;47661751#0_0;121.06;13.67;21.00;0.43;583371595#1_1;0.00;21.05;vehroute_0.35.1 tripinfo_0.35.1 routing_0.35.1 emissions_0.35.1;75.00;0.35.1;1;1407.45;1.26;0.00;4.01;passenger;;0;0.00;213922.943853;1684.170233;12.773606;80.598951;3.662259;0;91.955756
97.00;47663822#2.31_2;76.83;18.73;0.00;0.00;-252220824_0;0.00;13.34;vehroute_1.490.0 tripinfo_1.490.0 routing_1.490.0 emissions_1.490.0;97.00;1.490.0;1;1601.51;1.20;0.00;13.88;passenger;;0;0.00;312088.796463;3269.207872;22.181462;122.226924;5.600566;0;134.152763
97.00;-37061736#7_0;33.63;13.72;4.00;4.00;gneE14_0;0.00;19.07;vehroute_6.1012.0 tripinfo_6.1012.0 routing_6.1012.0 emissions_6.1012.0;93.00;6.1012.0;1;1597.92;1.25;0.00;13.44;taxi;;0;0.00;354146.614026;3991.742989;26.617844;141.936536;6.705413;0;152.231131
98.00;775830384_2;114.22;18.03;0.00;0.00;190511164#0_0;0.00;12.72;vehroute_0.201.0 tripinfo_0.201.0 routing_0.201.0 emissions_0.201.0;98.00;0.201.0;1;1350.67;1.14;0.00;16.16;passenger;;1;2.00;276211.960150;3580.988187;22.736887;110.752649;4.947225;0;118.731280
98.00;47663822#2.31_2;76.83;20.35;0.00;0.00;-48484858#0_0;0.00;20.73;vehroute_1.450.0 tripinfo_1.450.0 routing_1.450.0 emissions_1.450.0;98.00;1.450.0;1;1764.97;1.24;0.00;12.00;passenger;;0;0.00;344660.991647;3755.140443;25.341497;137.558859;6.535292;0;148.153647
99.00;47663822#2.31_1;76.83;18.39;0.00;0.00;678477995_0;0.00;12.58;vehroute_1.510.0 tripinfo_1.510.0 routing_1.510.0 emissions_1.510.0;99.00;1.510.0;1;1074.13;1.13;0.00;39.97;passenger;;1;27.00;292805.392571;6515.718351;36.584246;121.072110;5.808280;0;125.865538
100.00;37022128_0;106.30;18.31;0.00;0.00;190511164#0_0;31.01;12.32;vehroute_0.202.0 tripinfo_0.202.0 routing_0.202.0 emissions_0.202.0;100.00;0.202.0;1;1311.03;1.11;0.00;17.93;passenger;;1;1.00;287677.227950;3733.171486;23.615477;114.892906;5.078156;0;123.659792
100.00;-37061736#7_0;33.63;12.94;6.00;6.00;gneE14_0;0.00;14.47;vehroute_6.1013.0 tripinfo_6.1013.0 routing_6.1013.0 emissions_6.1013.0;94.00;6.1013.0;1;1597.92;1.22;0.00;13.79;taxi;;1;1.00;316161.515902;3425.065639;23.168334;124.399003;5.785805;0;135.903411
100.00;53281543_0;136.33;13.75;72.00;0.00;408074469#0_2;0.00;21.92;vehroute_1.292.1 tripinfo_1.292.1 routing_1.292.1 emissions_1.292.1;28.00;1.292.1;1;313.79;1.31;0.00;10.05;passenger;;1;3.00;73581.754581;1343.329658;7.865883;30.342414;1.399912;0;31.629718
