step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
121;1;625281256;121;125;589;612;10.75;0.67;86.90;5.49;468;1;152.00;23
125;1;625281262;125;122;593;613;10.74;0.67;87.60;5.52;468;1;153.00;20
128;1;625281270;128;125;596;613;10.79;0.67;87.85;5.53;468;1;154.00;17
130;1;625281277;130;129;599;614;10.69;0.67;88.85;5.53;469;1;155.00;15
131;1;625281283;131;130;600;614;10.68;0.67;89.18;5.54;469;1;156.00;14
131;1;625281290;131;135;601;614;10.57;0.66;89.18;5.55;470;1;157.00;13
133;1;625281302;133;140;603;614;10.49;0.65;90.01;5.58;470;1;158.00;11
133;1;625281308;133;146;606;618;10.49;0.65;90.01;5.58;473;1;159.00;12
136;1;625281314;136;150;608;618;10.31;0.64;91.55;5.62;472;1;160.00;10
136;1;625281321;136;153;610;618;10.26;0.64;91.55;5.64;474;1;161.00;8
140;1;625281327;140;152;613;621;10.12;0.63;92.93;5.65;473;1;162.00;8
141;1;625281333;141;152;614;621;10.01;0.62;93.39;5.64;473;1;163.00;7
143;1;625281340;143;150;614;621;9.95;0.62;93.48;5.64;471;1;164.00;7
145;1;625281346;145;151;617;625;9.81;0.61;93.45;5.62;472;1;165.00;8
149;1;625281352;149;149;618;626;9.68;0.60;94.45;5.61;469;1;166.00;8
150;1;625281358;150;148;618;626;9.60;0.59;94.45;5.61;468;1;167.00;8
152;1;625281364;152;151;624;630;9.46;0.58;95.16;5.59;472;1;168.00;6
152;1;625281376;152;153;625;630;9.25;0.57;95.16;5.62;473;1;169.00;5
155;1;625281382;155;143;625;630;9.11;0.56;96.35;5.62;470;1;170.00;5
157;1;625281388;157;134;629;631;9.06;0.56;96.72;5.67;472;1;171.00;2
158;1;625281395;158;132;629;631;9.03;0.56;97.06;5.67;471;1;172.00;2
160;1;625281401;160;129;633;637;9.02;0.56;97.91;5.64;473;1;173.00;4
160;1;625281408;160;129;634;637;9.07;0.56;97.91;5.65;474;1;174.00;3
160;1;625281414;160;130;635;638;9.06;0.56;97.91;5.65;475;1;175.00;3
163;1;625281421;163;132;637;638;9.16;0.56;97.82;5.68;474;1;176.00;1
164;1;625281427;164;128;638;638;9.24;0.57;97.58;5.67;474;1;177.00;0
164;1;625281434;164;127;638;638;9.38;0.58;97.58;5.67;474;1;178.00;0
164;1;625281441;164;125;638;638;9.51;0.58;97.58;5.67;474;1;179.00;0
164;1;625281448;164;127;668;672;9.58;0.59;97.58;5.42;504;1;180.00;4
164;1;625281457;164;124;668;672;9.59;0.59;97.58;5.42;504;1;181.00;4
166;1;625281463;166;121;670;672;9.63;0.60;98.45;5.41;504;1;182.00;2
168;1;625281471;168;127;670;672;9.68;0.60;99.38;5.41;502;1;183.00;2
168;1;625281477;168;130;671;672;9.72;0.60;99.38;5.41;503;1;184.00;1
171;1;625281484;171;139;671;672;9.65;0.60;100.09;5.41;500;1;185.00;1
172;1;625281490;172;145;676;676;9.67;0.60;100.17;5.38;504;1;186.00;0
172;1;625281497;172;149;676;676;9.64;0.60;100.17;5.38;504;1;187.00;0
173;1;625281509;173;152;679;680;9.58;0.59;100.32;5.36;506;1;188.00;1
174;1;625281516;174;159;681;681;9.53;0.59;100.28;5.35;507;1;189.00;0
178;1;625281523;178;163;681;681;9.41;0.58;100.83;5.35;503;1;190.00;0
181;1;625281530;181;168;681;681;9.40;0.58;101.30;5.35;500;1;191.00;0
184;1;625281537;184;181;693;694;9.33;0.58;101.76;5.26;509;1;192.00;1
187;1;625281556;187;184;693;694;9.13;0.56;101.55;5.26;506;1;193.00;1
193;1;625281564;193;185;694;694;8.99;0.55;101.24;5.25;501;1;194.00;0
196;1;625281571;196;192;695;695;8.88;0.55;100.70;5.25;499;1;195.00;0
199;1;625281577;199;196;696;696;8.78;0.54;100.93;5.24;497;1;196.00;0
204;1;625281584;204;196;696;696;8.67;0.53;100.72;5.24;492;1;197.00;0
208;1;625281590;208;202;698;699;8.46;0.52;101.29;5.22;490;1;198.00;1
210;1;625281597;210;200;699;699;8.25;0.50;101.27;5.22;489;1;199.00;0
212;1;625281605;212;206;699;699;8.08;0.49;101.47;5.22;487;1;200.00;0
212;1;625281618;212;211;699;699;7.96;0.49;101.47;5.22;487;1;201.00;0
214;2;625281625;214;218;704;705;7.86;0.48;100.93;5.19;490;2;202.00;1
214;2;625281656;214;223;704;705;7.80;0.48;100.93;5.19;490;2;203.00;1
214;2;625281664;214;226;705;705;7.81;0.48;100.93;5.19;491;2;204.00;0
216;2;625281670;216;235;705;705;7.65;0.47;100.29;5.19;489;2;205.00;0
217;2;625281677;217;240;709;709;7.53;0.46;100.11;5.16;492;2;206.00;0
217;2;625281683;217;246;710;710;7.37;0.45;100.11;5.15;493;2;207.00;0
217;2;625281690;217;248;710;710;7.30;0.45;100.11;5.15;493;2;208.00;0
218;2;625281696;218;252;711;711;7.21;0.44;100.17;5.15;493;2;209.00;0
219;2;625281705;219;251;711;711;7.17;0.44;100.31;5.15;492;2;210.00;0
221;2;625281722;221;254;711;711;7.15;0.44;100.84;5.15;490;2;211.00;0
