tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
82.00;48484723_0;142.71;18.27;0.00;0.00;49070929#0_0;67.52;12.41;vehroute_7.1192.0 tripinfo_7.1192.0 routing_7.1192.0 emissions_7.1192.0;82.00;7.1192.0;1;1057.19;1.12;0.00;20.52;taxi;;1;1.00;275954.539679;3778.342947;23.651446;112.810141;5.246380;0;118.620308
82.00;775830384_0;114.22;7.30;17.00;17.00;53281545#2_0;12.10;0.00;vehroute_2.50.0 tripinfo_2.50.0 routing_2.50.0 emissions_2.50.0;65.00;2.50.0;1;394.45;1.20;15.00;29.53;bus;;1;1.00;893590.898348;1608.621015;331.641647;7261.333801;168.937678;0;381.053113
88.00;53281792_0;131.79;12.98;0.00;0.00;192483968#1_1;124.90;19.62;vehroute_0.186.0 tripinfo_0.186.0 routing_0.186.0 emissions_0.186.0;88.00;0.186.0;1;1138.61;1.18;0.00;24.60;passenger;;1;12.00;224688.763735;3545.345672;21.437103;90.122713;4.167493;0;96.584164
88.00;775830384_0;114.22;19.63;0.00;0.00;48484721#2_0;0.00;19.85;vehroute_0.261.0 tripinfo_0.261.0 routing_0.261.0 emissions_0.261.0;88.00;0.261.0;1;503.80;1.19;0.00;61.95;passenger;;1;48.00;264847.379241;9751.556895;50.697925;114.950399;5.850686;0;113.849723
88.00;47663822#2.31_1;76.83;21.71;0.00;0.00;gneE1_0;0.00;15.27;vehroute_1.470.0 tripinfo_1.470.0 routing_1.470.0 emissions_1.470.0;88.00;1.470.0;1;1660.59;1.37;0.00;12.65;passenger;;0;0.00;367369.130086;4435.883381;29.145443;147.809233;7.296429;0;157.914797
90.00;47663822#2.31_2;76.83;21.82;0.00;0.00;-48484858#0_0;0.00;22.81;vehroute_1.450.0 tripinfo_1.450.0 routing_1.450.0 emissions_1.450.0;90.00;1.450.0;1;1764.97;1.37;0.00;11.32;passenger;;0;0.00;371124.426813;4011.962732;27.293619;145.850761;7.145973;0;159.529173
92.00;163041337_0;150.93;12.34;6.00;6.00;583371595#1_0;0.00;10.32;vehroute_6.1063.0 tripinfo_6.1063.0 routing_6.1063.0 emissions_6.1063.0;86.00;6.1063.0;1;1298.47;1.16;0.00;13.47;taxi;;0;0.00;328948.522169;4064.167267;26.336066;134.878146;6.323244;0;141.399555
92.00;775830384_1;114.22;18.96;0.00;0.00;252220162_0;33.72;13.09;vehroute_6.1138.0 tripinfo_6.1138.0 routing_6.1138.0 emissions_6.1138.0;92.00;6.1138.0;1;990.83;1.18;0.00;32.86;taxi;;1;19.00;279455.358694;5298.369538;30.775956;114.708208;5.334694;0;120.126375
93.00;775830384_0;114.22;17.87;0.00;0.00;48484721#2_0;60.62;18.34;vehroute_6.1141.0 tripinfo_6.1141.0 routing_6.1141.0 emissions_6.1141.0;93.00;6.1141.0;1;443.18;1.10;0.00;67.88;taxi;;2;51.00;272374.290647;10500.725665;54.259517;119.056708;6.011782;0;117.085631
94.00;47663822#2.31_0;76.83;19.80;0.00;0.00;583371595#1_1;0.00;19.95;vehroute_1.32.0 tripinfo_1.32.0 routing_1.32.0 emissions_1.32.0;94.00;1.32.0;1;1043.94;1.20;0.00;40.84;passenger;;1;29.00;271665.766475;6414.559084;35.635148;111.222314;5.385545;0;116.778878
94.00;53292332#0_0;29.81;12.52;1.00;1.00;583371595#1_0;0.00;18.48;vehroute_0.37.0 tripinfo_0.37.0 routing_0.37.0 emissions_0.37.0;93.00;0.37.0;1;1658.55;1.28;0.00;13.81;passenger;;0;0.00;360940.608158;4245.142576;28.057555;145.855295;7.045091;0;155.151415
95.00;775830384_0;114.22;17.92;0.00;0.00;gneE8_0;0.00;12.67;vehroute_0.241.0 tripinfo_0.241.0 routing_0.241.0 emissions_0.241.0;95.00;0.241.0;1;583.53;1.14;0.00;59.49;passenger;;1;46.00;267721.303867;8797.974546;46.368688;114.761258;5.646193;0;115.084601
96.00;775830384_1;114.22;19.94;0.00;0.00;192483968#1_1;0.00;20.72;vehroute_0.181.0 tripinfo_0.181.0 routing_0.181.0 emissions_0.181.0;96.00;0.181.0;1;1578.90;1.24;0.00;18.47;passenger;;1;7.00;311268.974190;3582.900300;23.771330;122.539809;5.785920;0;133.800424
96.00;775830384_0;114.22;19.61;0.00;0.00;252220162_0;0.00;13.59;vehroute_0.221.0 tripinfo_0.221.0 routing_0.221.0 emissions_0.221.0;96.00;0.221.0;1;1024.55;1.22;0.00;36.92;passenger;;2;21.00;317269.839180;6516.477963;37.264867;132.789511;6.388454;0;136.381144
97.00;37022128_0;106.30;18.26;0.00;0.00;252220162_1;0.00;12.77;vehroute_0.222.0 tripinfo_0.222.0 routing_0.222.0 emissions_0.222.0;97.00;0.222.0;1;1019.01;1.15;0.00;34.11;passenger;;1;22.00;299735.787745;5688.755914;32.960595;123.409471;5.745783;0;128.844028
97.00;53281543_0;136.33;11.51;72.00;0.00;408074469#0_1;0.00;18.98;vehroute_1.292.1 tripinfo_1.292.1 routing_1.292.1 emissions_1.292.1;25.00;1.292.1;1;313.79;1.14;0.00;3.53;passenger;;0;0.00;64599.249322;914.861303;5.704888;26.840025;1.223867;0;27.768272
98.00;47663822#2.31_1;76.83;18.63;0.00;0.00;-252220824_0;0.00;12.53;vehroute_1.490.0 tripinfo_1.490.0 routing_1.490.0 emissions_1.490.0;98.00;1.490.0;1;1601.51;1.13;0.00;9.53;passenger;;0;0.00;308337.713433;3291.726048;22.226843;122.385787;5.590273;0;132.540185
98.00;775830384_2;114.22;18.02;1.00;1.00;192483968#1_0;0.00;17.34;vehroute_6.1131.0 tripinfo_6.1131.0 routing_6.1131.0 emissions_6.1131.0;97.00;6.1131.0;1;1578.90;1.16;0.00;14.33;taxi;;1;2.00;315989.789192;3443.833814;23.023564;125.145562;5.776051;0;135.829492
99.00;37022128_0;106.30;21.79;0.00;0.00;190511164#0_0;34.92;15.71;vehroute_0.202.0 tripinfo_0.202.0 routing_0.202.0 emissions_0.202.0;99.00;0.202.0;1;1307.12;1.41;0.00;34.88;passenger;;1;14.00;364864.946499;5795.151216;35.061749;149.252925;7.158902;0;156.839354
99.00;47663822#2.31_0;76.83;19.87;0.00;0.00;678477995_0;0.00;13.61;vehroute_1.510.0 tripinfo_1.510.0 routing_1.510.0 emissions_1.510.0;99.00;1.510.0;1;1074.13;1.23;0.00;43.77;passenger;;1;28.00;313473.156932;7127.721984;39.867850;130.652213;6.333391;0;134.749721
100.00;28639939#0_0;139.89;17.42;1.00;1.00;192483968#1_1;0.00;19.18;vehroute_0.187.0 tripinfo_0.187.0 routing_0.187.0 emissions_0.187.0;99.00;0.187.0;1;1514.06;1.31;0.00;27.13;passenger;;1;8.00;360391.062777;5177.018773;32.208806;147.537668;7.106945;0;154.915726
100.00;583371580_0;93.20;12.09;0.00;0.00;408074469#0_2;0.00;19.70;vehroute_1.293.0 tripinfo_1.293.0 routing_1.293.0 emissions_1.293.0;100.00;1.293.0;1;725.11;1.18;0.00;59.86;passenger;;1;44.00;319079.298714;9434.504887;50.499035;136.638634;6.745453;0;137.160815
101.00;47661751#0_0;121.06;12.64;7.00;7.00;583371595#1_0;0.00;6.48;vehroute_6.1064.0 tripinfo_6.1064.0 routing_6.1064.0 emissions_6.1064.0;94.00;6.1064.0;1;1407.45;1.24;0.00;22.00;taxi;;0;0.00;406094.901120;5387.879210;34.302813;168.682064;8.032268;0;174.561082
103.00;37022128_0;106.30;21.67;3.00;3.00;192483968#1_1;0.00;16.18;vehroute_0.189.0 tripinfo_0.189.0 routing_0.189.0 emissions_0.189.0;100.00;0.189.0;1;1570.27;1.37;0.00;30.13;passenger;;1;4.00;432622.812686;5889.200042;37.308792;178.734670;8.790800;0;185.964212
103.00;47661751#0_0;121.06;13.22;21.00;0.43;583371595#1_1;60.92;20.38;vehroute_0.35.1 tripinfo_0.35.1 routing_0.35.1 emissions_0.35.1;82.00;0.35.1;1;1346.53;1.22;0.00;11.47;passenger;;0;0.00;290863.309578;3286.859642;21.858761;116.900022;5.476309;0;125.028581
105.00;53283046#0_0;165.89;15.83;11.00;11.00;--199263543_0;0.00;3.77;vehroute_0.89.0 tripinfo_0.89.0 routing_0.89.0 emissions_0.89.0;94.00;0.89.0;1;1273.32;0.97;0.00;10.66;passenger;;0;0.00;244050.168974;2743.559449;18.083920;95.819528;4.022163;0;104.906496
105.00;775830384_1;114.22;20.03;0.00;0.00;190511164#0_0;0.00;13.89;vehroute_0.201.0 tripinfo_0.201.0 routing_0.201.0 emissions_0.201.0;105.00;0.201.0;1;1350.67;1.25;0.00;30.54;passenger;;1;7.00;382872.711085;5570.414172;34.420788;156.653258;7.299918;0;164.579839
106.00;199263543_0;77.99;12.45;9.00;9.00;583371595#1_0;0.00;6.32;vehroute_6.1065.0 tripinfo_6.1065.0 routing_6.1065.0 emissions_6.1065.0;97.00;6.1065.0;1;1593.45;1.23;0.00;16.45;taxi;;0;0.00;416773.674495;5313.245593;34.127573;171.878636;8.279792;0;179.151273
108.00;48484730#0_0;230.76;12.90;2.00;2.00;48484721#2_0;12.10;0.00;vehroute_3.400.0 tripinfo_3.400.0 routing_3.400.0 emissions_3.400.0;106.00;3.400.0;1;1097.64;1.20;15.00;29.14;bus;;1;1.00;1751744.457308;2755.740689;549.991903;13560.869938;294.086531;0;747.076747
109.00;53292659#0_0;67.48;19.63;0.00;0.00;199263544_0;55.68;18.87;vehroute_0.63.0 tripinfo_0.63.0 routing_0.63.0 emissions_0.63.0;109.00;0.63.0;0;157.39;1.39;0.00;101.73;passenger;;1;92.00;306700.913745;15607.538003;78.313761;138.250608;7.345021;0;131.843937
113.00;-292382413_0;152.29;10.83;2.00;2.00;192483968#1_1;0.00;17.29;vehroute_0.188.0 tripinfo_0.188.0 routing_0.188.0 emissions_0.188.0;111.00;0.188.0;1;1590.76;1.09;0.00;17.13;passenger;;0;0.00;354860.162082;4269.625391;27.755560;141.985190;6.351798;0;152.538415
117.00;-37061736#7_0;33.63;12.45;4.00;4.00;gneE14_0;0.00;14.37;vehroute_0.3.0 tripinfo_0.3.0 routing_0.3.0 emissions_0.3.0;113.00;0.3.0;1;1597.92;1.23;0.00;33.10;passenger;;2;11.00;387446.953460;5993.838604;36.544370;158.308131;7.582664;0;166.546269
117.00;583371580_0;93.20;10.77;48.00;0.00;408074469#0_0;0.00;17.97;vehroute_1.293.2 tripinfo_1.293.2 routing_1.293.2 emissions_1.293.2;69.00;1.293.2;1;725.11;1.08;0.00;25.43;passenger;;1;10.00;227690.437843;4044.932740;23.818873;94.792450;4.447269;0;97.874298
119.00;53292332#0_0;29.81;13.36;1.00;1.00;240384794_0;0.00;7.36;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;118.00;0.122.0;1;204.20;1.31;0.00;106.57;passenger;;1;93.00;332054.263475;16032.398448;80.843376;149.228927;7.824322;0;142.742197
120.00;698797233#1_0;49.94;10.69;1.00;1.00;49030944#2_0;0.00;16.97;vehroute_1.23.0 tripinfo_1.23.0 routing_1.23.0 emissions_1.23.0;119.00;1.23.0;1;225.44;1.02;0.00;101.52;passenger;;1;94.00;273906.810793;15190.315266;75.589808;123.330868;6.514036;0;117.747602
120.00;48484734_0;182.76;13.60;0.00;0.00;408074469#0_0;52.84;21.01;vehroute_1.294.0 tripinfo_1.294.0 routing_1.294.0 emissions_1.294.0;120.00;1.294.0;1;986.58;1.26;0.00;67.91;passenger;;1;49.00;378721.628452;10545.218249;57.047211;161.838748;7.976567;0;162.798440
122.00;199263543_0;77.99;12.99;1.00;1.00;199263544_0;0.00;16.82;vehroute_0.64.0 tripinfo_0.64.0 routing_0.64.0 emissions_0.64.0;121.00;0.64.0;1;321.68;1.19;0.00;100.91;passenger;;1;89.00;330297.118533;15382.447186;77.819834;146.731155;7.618781;0;141.986674
125.00;53292659#0_1;67.48;18.10;11.00;11.00;199263544_1;25.03;12.15;vehroute_7.1083.0 tripinfo_7.1083.0 routing_7.1083.0 emissions_7.1083.0;114.00;7.1083.0;0;188.13;1.14;0.00;103.93;taxi;;1;86.00;295090.433631;14792.959241;74.322990;132.776284;7.005679;0;126.852735
126.00;775830384_2;114.22;23.55;0.00;0.00;-48484826_0;0.00;15.93;vehroute_0.141.0 tripinfo_0.141.0 routing_0.141.0 emissions_0.141.0;126.00;0.141.0;1;2272.06;1.43;0.00;23.65;passenger;;1;8.00;453667.585888;5388.070011;35.549207;179.681600;8.950553;0;195.010724
