tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
88.00;775830384_1;114.22;21.06;0.00;0.00;48484721#2_0;0.00;21.28;vehroute_0.261.0 tripinfo_0.261.0 routing_0.261.0 emissions_0.261.0;88.00;0.261.0;1;503.80;1.28;0.00;62.53;passenger;;1;47.00;261138.986445;9433.722641;49.103375;112.996120;5.759557;0;112.255475
88.00;47661751#0_0;121.06;12.96;6.00;6.00;583371595#1_0;0.00;12.49;vehroute_6.1064.0 tripinfo_6.1064.0 routing_6.1064.0 emissions_6.1064.0;82.00;6.1064.0;1;1407.45;1.17;0.00;5.29;taxi;;0;0.00;247225.475776;2281.576091;16.230160;96.312146;4.345280;0;106.270856
88.00;775830384_2;114.22;19.45;1.00;1.00;192483968#1_0;0.00;14.95;vehroute_6.1131.0 tripinfo_6.1131.0 routing_6.1131.0 emissions_6.1131.0;87.00;6.1131.0;1;1578.90;1.20;0.00;7.14;taxi;;0;0.00;290594.760492;2615.881549;18.701923;112.833217;5.159484;0;124.913236
88.00;775830384_0;114.22;20.69;0.00;0.00;48484721#2_0;67.73;20.72;vehroute_6.1141.0 tripinfo_6.1141.0 routing_6.1141.0 emissions_6.1141.0;88.00;6.1141.0;1;436.07;1.24;0.00;65.71;taxi;;2;50.00;259405.874098;9905.582673;51.206146;113.256851;5.812178;0;111.510739
90.00;775830384_1;114.22;19.33;0.00;0.00;192483968#1_1;0.00;20.20;vehroute_0.181.0 tripinfo_0.181.0 routing_0.181.0 emissions_0.181.0;90.00;0.181.0;1;1578.90;1.21;0.00;10.78;passenger;;0;0.00;305187.659403;3095.868334;21.390844;120.225308;5.597975;0;131.186040
91.00;775830384_0;114.22;20.93;0.00;0.00;gneE8_0;0.00;14.61;vehroute_0.241.0 tripinfo_0.241.0 routing_0.241.0 emissions_0.241.0;91.00;0.241.0;1;583.53;1.31;0.00;60.00;passenger;;1;48.00;282834.154969;9623.169084;50.563130;122.406653;6.223493;0;121.581064
92.00;775830384_0;114.22;20.36;0.00;0.00;252220162_0;28.18;14.12;vehroute_6.1138.0 tripinfo_6.1138.0 routing_6.1138.0 emissions_6.1138.0;92.00;6.1138.0;1;996.37;1.27;0.00;36.98;taxi;;1;22.00;314766.684665;6545.487148;37.269890;131.425908;6.358699;0;135.305212
93.00;775830384_1;114.22;20.50;0.00;0.00;190511164#0_0;0.00;13.79;vehroute_0.201.0 tripinfo_0.201.0 routing_0.201.0 emissions_0.201.0;93.00;0.201.0;1;1350.67;1.24;0.00;17.95;passenger;;0;0.00;345124.854233;4541.314898;28.980166;142.851714;6.791304;0;148.352979
94.00;47663822#2.31_0;76.83;19.45;0.00;0.00;583371595#1_1;0.00;19.83;vehroute_1.32.0 tripinfo_1.32.0 routing_1.32.0 emissions_1.32.0;94.00;1.32.0;1;1043.94;1.19;0.00;40.56;passenger;;1;29.00;271149.226372;6342.134123;35.366172;112.323787;5.476661;0;116.556574
94.00;53283046#0_0;165.89;18.38;10.00;10.00;--199263543_0;0.00;4.60;vehroute_0.89.0 tripinfo_0.89.0 routing_0.89.0 emissions_0.89.0;84.00;0.89.0;1;1273.32;1.14;0.00;13.52;passenger;;0;0.00;303836.754323;3637.086603;23.649089;122.502967;5.624135;0;130.605463
95.00;775830384_0;114.22;16.48;0.00;0.00;252220162_0;0.00;11.78;vehroute_0.221.0 tripinfo_0.221.0 routing_0.221.0 emissions_0.221.0;95.00;0.221.0;1;1024.55;1.06;0.00;26.92;passenger;;1;15.00;252678.363498;4609.336897;26.887646;102.665731;4.591164;0;108.616185
96.00;47663822#2.31_1;76.83;18.73;0.00;0.00;-252220824_0;0.00;12.73;vehroute_1.490.0 tripinfo_1.490.0 routing_1.490.0 emissions_1.490.0;96.00;1.490.0;1;1601.51;1.15;0.00;9.56;passenger;;0;0.00;306468.826306;2983.313348;20.597757;119.586020;5.373471;0;131.736929
97.00;583371580_0;93.20;11.88;0.00;0.00;408074469#0_2;0.00;18.81;vehroute_1.293.0 tripinfo_1.293.0 routing_1.293.0 emissions_1.293.0;97.00;1.293.0;1;725.11;1.13;0.00;55.01;passenger;;1;46.00;271562.261645;9028.119034;47.359567;115.647167;5.744698;0;116.735825
97.00;47663822#2.31_0;76.83;20.06;0.00;0.00;678477995_0;0.00;14.84;vehroute_1.510.0 tripinfo_1.510.0 routing_1.510.0 emissions_1.510.0;97.00;1.510.0;1;1074.13;1.34;0.00;46.96;passenger;;1;28.00;346033.587278;7743.042452;43.540982;144.838088;7.131578;0;148.745885
98.00;53292332#0_0;29.81;13.47;1.00;1.00;583371595#1_0;0.00;20.85;vehroute_0.37.0 tripinfo_0.37.0 routing_0.37.0 emissions_0.37.0;97.00;0.37.0;1;1658.55;1.25;0.00;15.06;passenger;;0;0.00;369137.812570;4146.579932;27.726118;147.185539;6.940369;0;158.675267
98.00;37022128_0;106.30;14.94;0.00;0.00;252220162_1;0.00;10.23;vehroute_0.222.0 tripinfo_0.222.0 routing_0.222.0 emissions_0.222.0;98.00;0.222.0;1;1015.92;0.92;0.00;20.00;passenger;;1;4.00;239855.827280;3549.615240;21.691235;96.536463;4.084158;0;103.103914
98.00;47663822#2.31_1;76.83;19.37;0.00;0.00;-48484858#0_0;0.00;19.63;vehroute_1.450.0 tripinfo_1.450.0 routing_1.450.0 emissions_1.450.0;98.00;1.450.0;1;1764.97;1.18;0.00;6.42;passenger;;0;0.00;296245.721651;2455.915060;17.973645;112.940567;5.076846;0;127.342493
99.00;199263543_0;77.99;12.34;7.00;7.00;583371595#1_0;0.00;9.33;vehroute_6.1065.0 tripinfo_6.1065.0 routing_6.1065.0 emissions_6.1065.0;92.00;6.1065.0;1;1586.62;1.19;0.00;8.49;taxi;;0;0.00;285247.342478;2846.166251;19.653067;112.258871;5.153920;0;122.614640
99.00;53281543_0;136.33;11.08;72.00;0.00;408074469#0_1;0.00;17.29;vehroute_1.292.1 tripinfo_1.292.1 routing_1.292.1 emissions_1.292.1;27.00;1.292.1;1;313.79;1.04;0.00;3.30;passenger;;0;0.00;67519.917416;796.650181;5.205126;26.503279;1.074852;0;29.023933
100.00;37022128_0;106.30;16.57;0.00;0.00;190511164#0_0;34.51;11.86;vehroute_0.202.0 tripinfo_0.202.0 routing_0.202.0 emissions_0.202.0;100.00;0.202.0;1;1307.53;1.07;0.00;15.68;passenger;;0;0.00;284991.933546;3570.746804;22.952537;115.832370;5.200300;0;122.505060
101.00;-37061736#7_0;33.63;12.16;4.00;4.00;gneE14_0;0.00;13.47;vehroute_0.3.0 tripinfo_0.3.0 routing_0.3.0 emissions_0.3.0;97.00;0.3.0;1;1597.92;1.17;0.00;13.32;passenger;;0;0.00;294489.615750;3252.423971;21.660515;115.885943;5.272736;0;126.587770
102.00;47663822#2.31_1;76.83;22.71;0.00;0.00;240384794_0;67.42;8.49;vehroute_1.121.0 tripinfo_1.121.0 routing_1.121.0 emissions_1.121.0;102.00;1.121.0;1;2210.23;1.41;0.00;6.52;passenger;;0;0.00;393207.993872;4163.002006;28.597768;153.234798;7.715463;0;169.021813
103.00;28639939#0_0;139.89;15.57;1.00;1.00;192483968#1_1;0.00;18.79;vehroute_0.187.0 tripinfo_0.187.0 routing_0.187.0 emissions_0.187.0;102.00;0.187.0;1;1514.06;1.17;0.00;22.01;passenger;;1;2.00;361094.543223;4952.371893;31.156255;147.749904;6.936859;0;155.218084
103.00;-292382413_0;152.29;14.81;2.00;2.00;192483968#1_1;0.00;17.39;vehroute_0.188.0 tripinfo_0.188.0 routing_0.188.0 emissions_0.188.0;101.00;0.188.0;1;1590.76;1.37;0.00;26.92;passenger;;0;0.00;399566.024058;4582.697988;30.309771;161.894432;7.531921;0;171.754724
104.00;48484730#0_0;230.76;12.93;1.00;1.00;48484721#2_0;12.10;0.00;vehroute_3.400.0 tripinfo_3.400.0 routing_3.400.0 emissions_3.400.0;103.00;3.400.0;1;1097.64;1.20;15.00;25.46;bus;;0;0.00;1755159.154289;2729.616647;542.103093;13535.219706;291.656306;0;748.538440
105.00;47661751#0_0;121.06;11.80;21.00;0.43;583371595#1_1;0.00;18.97;vehroute_0.35.1 tripinfo_0.35.1 routing_0.35.1 emissions_0.35.1;84.00;0.35.1;1;1407.45;1.14;0.00;4.84;passenger;;0;0.00;203977.084379;1595.701433;11.982557;77.171600;3.323837;0;87.680566
107.00;37022128_0;106.30;15.94;2.00;2.00;192483968#1_1;98.62;16.96;vehroute_0.189.0 tripinfo_0.189.0 routing_0.189.0 emissions_0.189.0;105.00;0.189.0;1;1471.65;1.02;0.00;17.43;passenger;;1;1.00;295296.678406;3291.838372;21.617902;116.181839;4.998948;0;126.934934
109.00;53292659#0_0;67.48;19.68;0.00;0.00;199263544_0;49.98;20.01;vehroute_0.63.0 tripinfo_0.63.0 routing_0.63.0 emissions_0.63.0;109.00;0.63.0;0;163.09;1.34;0.00;101.27;passenger;;1;91.00;307038.598133;15644.973595;78.493668;138.461824;7.363355;0;131.989103
115.00;698797233#1_0;49.94;11.63;0.00;0.00;49030944#2_0;119.21;5.82;vehroute_1.23.0 tripinfo_1.23.0 routing_1.23.0 emissions_1.23.0;115.00;1.23.0;1;106.23;1.05;0.00;105.27;passenger;;1;100.00;296186.031272;16566.294180;82.380786;133.640957;7.084180;0;127.325094
115.00;-37061736#7_0;33.63;12.94;12.00;12.00;gneE14_0;0.00;2.67;vehroute_6.1012.0 tripinfo_6.1012.0 routing_6.1012.0 emissions_6.1012.0;103.00;6.1012.0;1;1597.92;1.21;0.00;21.92;taxi;;0;0.00;397978.476206;5131.263143;32.716881;161.961861;7.626715;0;171.072605
116.00;583371580_0;93.20;12.64;48.00;0.00;408074469#0_0;0.00;19.29;vehroute_1.293.2 tripinfo_1.293.2 routing_1.293.2 emissions_1.293.2;68.00;1.293.2;1;725.11;1.16;0.00;26.96;passenger;;1;12.00;212778.527235;3813.112626;22.385457;87.676745;4.091167;0;91.464486
117.00;48484734_0;182.76;13.04;2.00;2.00;408074469#0_0;0.00;20.99;vehroute_1.294.0 tripinfo_1.294.0 routing_1.294.0 emissions_1.294.0;115.00;1.294.0;1;1039.42;1.26;0.00;60.32;passenger;;1;44.00;419162.516312;10879.161333;59.525013;178.751438;8.893710;0;180.181779
117.00;-37061736#7_0;33.63;12.48;16.00;16.00;gneE14_0;0.00;3.02;vehroute_6.1013.0 tripinfo_6.1013.0 routing_6.1013.0 emissions_6.1013.0;101.00;6.1013.0;1;1597.92;1.22;0.00;20.48;taxi;;0;0.00;401490.003655;5410.186619;34.351280;167.240790;8.117827;0;172.581527
117.00;50172050#0_0;132.31;13.07;3.00;3.00;48484828#4_0;0.00;11.62;vehroute_6.1125.0 tripinfo_6.1125.0 routing_6.1125.0 emissions_6.1125.0;114.00;6.1125.0;1;1208.69;1.20;0.00;48.43;taxi;;1;30.00;363885.830724;8113.184165;45.480534;150.757837;7.231599;0;156.420187
118.00;gneE5_0;349.68;11.06;0.00;0.00;48484828#4_0;69.61;18.18;vehroute_0.164.0 tripinfo_0.164.0 routing_0.164.0 emissions_0.164.0;118.00;0.164.0;1;1112.10;1.09;0.00;51.38;passenger;;1;38.00;313888.908617;8444.335569;45.798145;131.194041;6.168274;0;134.929669
119.00;53292332#0_0;29.81;12.44;2.00;2.00;240384794_0;0.00;17.38;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;117.00;0.122.0;1;204.20;1.12;0.00;103.81;passenger;;1;92.00;306772.726545;15645.902512;78.466741;137.760608;7.242666;0;131.874981
121.00;-53292327_0;316.56;12.39;2.00;2.00;583371595#1_0;81.54;19.35;vehroute_0.40.0 tripinfo_0.40.0 routing_0.40.0 emissions_0.40.0;119.00;0.40.0;1;2032.06;1.17;0.00;5.45;passenger;;0;0.00;303054.710763;2341.689382;17.642297;114.347629;4.960662;0;130.269558
