tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
95.00;163041337_0;150.93;11.94;4.00;4.00;583371595#1_0;0.00;5.09;vehroute_6.1063.0 tripinfo_6.1063.0 routing_6.1063.0 emissions_6.1063.0;91.00;6.1063.0;1;1298.47;1.14;0.00;17.09;taxi;;0;0.00;346712.616230;4375.664863;28.138173;141.783489;6.548846;0;149.035723
97.00;47661751#0_0;121.06;13.62;6.00;6.00;583371595#1_0;0.00;5.63;vehroute_6.1064.0 tripinfo_6.1064.0 routing_6.1064.0 emissions_6.1064.0;91.00;6.1064.0;1;1414.28;1.23;0.00;18.00;taxi;;0;0.00;363910.245426;4559.088438;29.506518;148.601142;7.005743;0;156.428085
97.00;53281543_0;136.33;12.21;72.00;0.00;408074469#0_2;0.00;18.63;vehroute_1.292.1 tripinfo_1.292.1 routing_1.292.1 emissions_1.292.1;25.00;1.292.1;1;313.79;1.12;0.00;3.44;passenger;;0;0.00;70110.452677;862.352054;5.591493;28.411280;1.257905;0;30.137310
98.00;775830384_1;114.22;17.34;0.00;0.00;252220162_0;0.00;12.20;vehroute_0.221.0 tripinfo_0.221.0 routing_0.221.0 emissions_0.221.0;98.00;0.221.0;1;1024.55;1.10;0.00;31.61;passenger;;1;18.00;274947.534825;5108.770293;29.689230;112.481681;5.126185;0;118.188684
98.00;37022128_0;106.30;18.29;0.00;0.00;252220162_1;0.00;12.82;vehroute_0.222.0 tripinfo_0.222.0 routing_0.222.0 emissions_0.222.0;98.00;0.222.0;1;1019.01;1.15;0.00;35.51;passenger;;1;22.00;312770.867353;6271.013340;35.981904;130.538553;6.212332;0;134.447195
98.00;47663822#2.31_2;76.83;19.19;0.00;0.00;-48484858#0_0;0.00;20.45;vehroute_1.450.0 tripinfo_1.450.0 routing_1.450.0 emissions_1.450.0;98.00;1.450.0;1;1764.97;1.23;0.00;10.39;passenger;;0;0.00;326104.013785;3497.800833;23.633951;129.055752;6.080788;0;140.177009
98.00;775830384_2;114.22;20.16;0.00;0.00;192483968#1_0;117.62;17.80;vehroute_6.1131.0 tripinfo_6.1131.0 routing_6.1131.0 emissions_6.1131.0;98.00;6.1131.0;1;1461.28;1.26;0.00;26.67;taxi;;1;12.00;346327.923285;4935.504957;30.753929;139.633048;6.679597;0;148.870938
99.00;37022128_0;106.30;20.91;0.00;0.00;190511164#0_0;34.20;14.00;vehroute_0.202.0 tripinfo_0.202.0 routing_0.202.0 emissions_0.202.0;99.00;0.202.0;1;1307.84;1.26;0.00;28.00;passenger;;1;6.00;344307.279211;4992.379347;31.018355;143.151885;6.824967;0;148.001831
100.00;775830384_1;114.22;19.51;0.00;0.00;192483968#1_1;0.00;19.72;vehroute_0.181.0 tripinfo_0.181.0 routing_0.181.0 emissions_0.181.0;100.00;0.181.0;1;1578.90;1.18;0.00;18.79;passenger;;1;6.00;300247.720509;3818.553097;24.547532;120.885488;5.737485;0;129.062779
100.00;47661751#0_0;121.06;13.96;21.00;0.43;583371595#1_1;0.00;21.25;vehroute_0.35.1 tripinfo_0.35.1 routing_0.35.1 emissions_0.35.1;79.00;0.35.1;1;1407.45;1.27;0.00;8.79;passenger;;0;0.00;286405.305736;3035.318627;20.724381;113.367089;5.380286;0;123.112329
101.00;53283046#0_0;165.89;16.13;10.00;10.00;--199263543_0;0.00;6.67;vehroute_0.89.0 tripinfo_0.89.0 routing_0.89.0 emissions_0.89.0;91.00;0.89.0;1;1273.32;1.01;0.00;11.02;passenger;;0;0.00;274980.983726;3094.804073;20.361331;109.007964;4.732711;0;118.202009
