tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
91.00;163041337_0;150.93;12.21;5.00;5.00;583371595#1_0;0.00;9.15;vehroute_6.1063.0 tripinfo_6.1063.0 routing_6.1063.0 emissions_6.1063.0;86.00;6.1063.0;1;1305.30;1.17;0.00;13.69;taxi;;0;0.00;302104.084767;3917.058888;25.103094;124.925566;5.892690;0;129.860378
92.00;47663822#2.31_2;76.83;21.43;0.00;0.00;-252220824_0;0.00;14.84;vehroute_1.490.0 tripinfo_1.490.0 routing_1.490.0 emissions_1.490.0;92.00;1.490.0;1;1601.51;1.34;0.00;17.87;passenger;;0;0.00;392427.456507;5375.572959;34.019089;162.208103;8.032372;0;168.686090
94.00;47663822#2.31_1;76.83;18.75;0.00;0.00;583371595#1_1;0.00;19.89;vehroute_1.32.0 tripinfo_1.32.0 routing_1.32.0 emissions_1.32.0;94.00;1.32.0;1;1047.06;1.19;0.00;40.68;passenger;;1;29.00;253615.726982;5902.431789;32.778900;103.445288;4.957781;0;109.019857
95.00;775830384_1;114.22;20.09;0.00;0.00;192483968#1_0;118.70;17.53;vehroute_6.1131.0 tripinfo_6.1131.0 routing_6.1131.0 emissions_6.1131.0;95.00;6.1131.0;1;1460.20;1.23;0.00;22.65;taxi;;1;10.00;315208.520933;4336.434996;27.221724;125.468156;5.950110;0;135.494230
95.00;53281543_0;136.33;13.84;72.00;0.00;408074469#0_2;0.00;21.07;vehroute_1.292.1 tripinfo_1.292.1 routing_1.292.1 emissions_1.292.1;23.00;1.292.1;1;313.79;1.26;0.00;3.54;passenger;;0;0.00;54802.698328;711.443887;4.539321;22.075431;0.975035;0;23.557252
96.00;775830384_0;114.22;19.94;0.00;0.00;252220162_0;23.55;13.81;vehroute_6.1138.0 tripinfo_6.1138.0 routing_6.1138.0 emissions_6.1138.0;96.00;6.1138.0;1;1001.00;1.24;0.00;38.87;taxi;;2;24.00;312077.991290;6576.010598;37.296694;129.172931;6.129597;0;134.149792
100.00;47663822#2.31_2;76.83;18.83;0.00;0.00;gneE1_0;0.00;12.73;vehroute_1.470.0 tripinfo_1.470.0 routing_1.470.0 emissions_1.470.0;100.00;1.470.0;1;1660.59;1.15;0.00;10.38;passenger;;0;0.00;318667.522035;3145.455447;21.769911;124.910452;5.642264;0;136.980550
100.00;47661751#0_0;121.06;12.46;6.00;6.00;583371595#1_0;0.00;5.82;vehroute_6.1064.0 tripinfo_6.1064.0 routing_6.1064.0 emissions_6.1064.0;94.00;6.1064.0;1;1407.45;1.19;0.00;17.97;taxi;;0;0.00;356238.806394;4834.853531;30.454679;147.527831;7.028398;0;153.130424
102.00;37022128_0;106.30;16.89;0.00;0.00;190511164#0_0;28.42;11.78;vehroute_0.202.0 tripinfo_0.202.0 routing_0.202.0 emissions_0.202.0;102.00;0.202.0;1;1313.62;1.06;0.00;16.57;passenger;;0;0.00;298709.361684;3649.833321;23.563651;119.055653;5.157550;0;128.401969
103.00;775830384_1;114.22;14.26;0.00;0.00;252220162_0;0.00;10.23;vehroute_0.221.0 tripinfo_0.221.0 routing_0.221.0 emissions_0.221.0;103.00;0.221.0;1;1024.55;0.92;0.00;24.31;passenger;;1;7.00;238919.432300;3705.592602;22.398448;96.217448;4.076774;0;102.701533
